Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Europe & Central Asia (excluding high income),ECA,..,92.8179101284551,118.267882232397,122.798070045905,126.355085016814,126.623315844846,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Europe & Central Asia (IDA & IBRD countries),TEC,..,92.6208313956819,114.627988011852,118.322906967916,121.026782742019,121.310558850774,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,European Union,EUU,103.156001224755,99.6248740964101,102.961367691228,101.959656814355,101.775061401533,101.791519164583,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Fragile and conflict affected situations,FCS,59.5347244486153,86.1101651122766,121.77786203582,109.94560758866,109.718669029156,110.548254534649,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Heavily indebted poor countries (HIPC),HPC,63.11896708646,86.3996866276977,121.906712203235,109.450822735712,109.480099617353,107.571366060405,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,High income,HIC,88.8232143118033,97.845266674295,104.086581782323,103.898162643187,104.392724477644,105.055453106195,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,IBRD only,IBD,54.5623614398008,85.3520947585391,119.577922140305,123.374490119798,126.196146886386,127.544109364626,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,IDA & IBRD total,IBT,55.1429414749913,85.1191565241052,120.112473074502,122.983195164934,125.649805111097,126.898135863096,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,IDA blend,IDB,59.1112279162416,83.9208645200904,124.121427197317,126.639372515331,130.607210480854,132.751295041601,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,IDA only,IDX,58.914707886193,83.2220576792299,123.45804689875,115.37079698739,115.138258748432,114.446747015662,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,IDA total,IDA,58.9993027448854,83.5366915159482,123.756730134713,120.35997057161,121.987153284179,122.492737426822,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Late-demographic dividend,LTE,49.2533406634362,84.823921339522,118.181286874327,121.954464676569,124.324545900258,125.042814997072,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Latin America & Caribbean,LCN,57.8308369542556,83.5940673690617,116.206184229947,117.889639886947,122.119923771833,122.548179921588,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Latin America & Caribbean (excluding high income),LAC,57.3920728859187,83.3630508645273,116.559930885794,118.093221293805,122.783647142049,123.263910671792,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Latin America & the Caribbean (IDA & IBRD countries),TLA,56.9250035148612,83.2935956117418,116.090669318088,117.797679574409,122.027073319012,122.458916088824,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Least developed countries: UN classification,LDC,59.4631456491434,83.9412349436177,126.292283875665,117.049216774831,116.803421452107,116.164046823554,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Low & middle income,LMY,53.3408085616422,84.9389292547354,120.802019154264,123.712672960087,126.552817468603,127.852958629026,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Low income,LIC,61.4391224064545,83.9064378057366,116.740817576585,101.507332410112,99.854029869137,99.708595390603,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Lower middle income,LMC,58.806690920502,84.7613183599201,126.269732454613,129.867650718916,133.487205865577,137.017096091242,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Middle East & North Africa,MEA,58.4155981408731,84.9904862058123,118.041514561605,122.371030574176,122.780152468701,124.710476633001,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Middle East & North Africa (excluding high income),MNA,58.7777983512043,84.6783501479512,117.659423692785,122.044758993977,122.081508499516,124.012811308728,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Middle East & North Africa (IDA & IBRD countries),TMN,58.7777983512043,84.6155271660295,118.007518964922,122.435818783775,122.514276776642,124.366919432738,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Middle income,MIC,52.8994793404787,84.9907773276769,121.005276630653,124.876534603756,127.952196809332,129.331674553832,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,North America,NAC,77.5755464607811,96.5024700646106,105.552262013109,104.721381013132,105.30879333512,106.105654063774,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,OECD members,OED,86.7952727021335,97.1422775341821,105.50176500408,105.873458123556,106.663367612883,107.398828589768,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Other small states,OSS,83.3317997734195,106.288911202701,125.905392594657,124.541398359964,126.732215674967,126.942457473854,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Pacific island small states,PSS,90.8133580232835,95.778118518286,112.663830033737,106.793867886568,110.530929712611,110.294843965807,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Post-demographic dividend,PST,89.1623541639707,98.2526678844095,104.250814961557,104.098317127417,104.732195053044,105.314197540505,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Pre-demographic dividend,PRE,64.3511635737914,87.9433300802439,120.501560897043,108.62289112893,109.44293902926,107.591782496299,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Small states,SST,81.5558810167978,101.032515461255,121.139725554412,120.69637951765,122.614158516958,122.641886092725,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,South Asia,SAS,60.0516306065915,85.153740142352,126.487714300109,130.843601849572,134.694583667194,140.199854075003,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,South Asia (IDA & IBRD),TSA,60.0516306065915,85.153740142352,126.487714300109,130.843601849572,134.694583667194,140.199854075003,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sub-Saharan Africa,SSF,66.5695821617186,85.885691375513,122.406193946445,113.342589693988,113.957625034663,112.700665452253,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sub-Saharan Africa (excluding high income),SSA,66.6039599402661,85.9026788265742,122.396320923373,113.312268353189,113.930176598404,112.668923927233,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sub-Saharan Africa (IDA & IBRD countries),TSS,66.5695821617186,85.885691375513,122.406193946445,113.342589693988,113.957625034663,112.700665452253,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Upper middle income,UMC,50.6683489365042,85.0784454425905,119.003195646692,122.978405148966,125.847223997684,126.434498549116,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,World,WLD,67.8622169333286,90.0263247264842,114.225883116177,115.927944537152,117.846556097386,118.883783028942,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/14/2020,,,,,,,,,,,,,,,
